Date,Вирус клещевого энцефалита(кач) РНК,Вирус клещевого энцефалита(кач) РНКprob,Borrelia miyamotoi (кач) ДНК,Borrelia miyamotoi (кач) ДНКprob,Ehrlichia muris/chaffeеnsis(кач) ДНК,Ehrlichia muris/chaffeеnsis(кач) ДНКprob,Anaplasma Phagocytophillum(кач) ДНК,Anaplasma Phagocytophillum(кач) ДНКprob,Borrelia burgdorferi s.l (кач) ДНК,Borrelia burgdorferi s.l (кач) ДНКprob,region,Borrelia miyamotoi (кач) ДНКprob_1,Anaplasma Phagocytophillum(кач) ДНКprob_1,Ehrlichia muris/chaffeеnsis(кач) ДНКprob_1,Borrelia burgdorferi s.l (кач) ДНКprob_1,Вирус клещевого энцефалита(кач) РНКprob_1
2019-02-13,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-14,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-15,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-16,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-17,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-18,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-19,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-20,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-21,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-22,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-23,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-24,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-25,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-26,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-27,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-02-28,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-01,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-02,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-03,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-04,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-05,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-06,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-07,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-08,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-09,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-10,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-11,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-12,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-13,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-14,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-15,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-16,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-17,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-18,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-19,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-20,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-21,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-22,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-23,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-24,1,0,1,0,1,0,1,0,1,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-03-25,1,0,0,0,0,0,0,0,1,0,Челябинская обл ,,,,0.0,0.0
2019-03-26,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-03-27,1,0,0,0,1,0,1,0,1,0,Челябинская обл ,,0.0,0.0,0.0,0.0
2019-03-28,1,0,0,0,0,0,0,0,1,0,Челябинская обл ,,,,0.0,0.0
2019-03-29,1,0,0,0,0,0,0,0,1,0,Челябинская обл ,,,,0.0,0.0
2019-03-30,3,0,1,0,1,0,1,0,3,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-03-31,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-04-01,0,0,0,0,0,0,0,0,0,0,Челябинская обл ,,,,,
2019-04-02,3,0,0,0,1,0,1,0,3,0,Челябинская обл ,,0.0,0.0,0.0,0.0
2019-04-03,2,0,2,0,1,0,1,0,2,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-04-04,5,0,2,0,2,0,2,0,4,1,Челябинская обл ,0.0,0.0,0.0,0.25,0.0
2019-04-05,1,0,0,0,0,0,0,0,1,0,Челябинская обл ,,,,0.0,0.0
2019-04-06,3,0,2,0,3,0,3,1,3,0,Челябинская обл ,0.0,0.3333333333333333,0.0,0.0,0.0
2019-04-07,12,0,2,0,5,0,5,0,12,3,Челябинская обл ,0.0,0.0,0.0,0.25,0.0
2019-04-08,14,0,4,0,10,0,10,1,14,3,Челябинская обл ,0.0,0.1,0.0,0.21428571428571427,0.0
2019-04-09,18,0,4,0,10,0,10,0,18,4,Челябинская обл ,0.0,0.0,0.0,0.2222222222222222,0.0
2019-04-10,20,0,4,0,12,0,12,0,20,2,Челябинская обл ,0.0,0.0,0.0,0.1,0.0
2019-04-11,32,0,7,0,13,0,13,0,31,3,Челябинская обл ,0.0,0.0,0.0,0.0967741935483871,0.0
2019-04-12,37,0,6,0,13,0,13,0,37,2,Челябинская обл ,0.0,0.0,0.0,0.05405405405405406,0.0
2019-04-13,35,0,11,0,17,0,17,0,35,2,Челябинская обл ,0.0,0.0,0.0,0.05714285714285714,0.0
2019-04-14,75,0,14,1,46,0,46,0,75,17,Челябинская обл ,0.07142857142857142,0.0,0.0,0.22666666666666666,0.0
2019-04-15,69,0,16,1,37,0,37,0,69,7,Челябинская обл ,0.0625,0.0,0.0,0.10144927536231885,0.0
2019-04-16,39,0,4,0,23,0,23,1,39,1,Челябинская обл ,0.0,0.043478260869565216,0.0,0.02564102564102564,0.0
2019-04-17,21,0,5,0,12,0,12,0,21,0,Челябинская обл ,0.0,0.0,0.0,0.0,0.0
2019-04-18,22,0,5,0,10,0,10,0,22,2,Челябинская обл ,0.0,0.0,0.0,0.09090909090909091,0.0
2019-04-19,11,0,2,0,6,0,6,0,11,1,Челябинская обл ,0.0,0.0,0.0,0.09090909090909091,0.0
2019-04-20,18,0,4,0,8,0,8,0,17,4,Челябинская обл ,0.0,0.0,0.0,0.23529411764705882,0.0
